           source_id which are not unique 
 ===========> total count is 1977
001 ===========> total count is 34
002 ===========> total count is 43
003 ===========> total count is 47
004 ===========> total count is 45
9-001 ===========> total count is 11
9-002 ===========> total count is 11
9-003 ===========> total count is 11
9-004 ===========> total count is 11
9-005 ===========> total count is 11
9-006 ===========> total count is 11
9-007 ===========> total count is 11
9-008 ===========> total count is 10
9-009 ===========> total count is 11
9-010 ===========> total count is 11
9-011 ===========> total count is 11
9-012 ===========> total count is 11
9-013 ===========> total count is 11
9-014 ===========> total count is 11
9-015 ===========> total count is 10
9-016 ===========> total count is 9
9-017 ===========> total count is 8
9-018 ===========> total count is 7
15-001 ===========> total count is 11
15-002 ===========> total count is 11
15-003 ===========> total count is 11
3-001 ===========> total count is 11
3-002 ===========> total count is 11
3-003 ===========> total count is 10
3-004 ===========> total count is 11
3-005 ===========> total count is 11
3-006 ===========> total count is 11
3-007 ===========> total count is 10
3-008 ===========> total count is 11
3-009 ===========> total count is 11
3-010 ===========> total count is 11
3-011 ===========> total count is 11
3-012 ===========> total count is 11
3-013 ===========> total count is 11
3-014 ===========> total count is 11
3-015 ===========> total count is 11
3-016 ===========> total count is 11
3-017 ===========> total count is 11
3-018 ===========> total count is 11
3-019 ===========> total count is 11
3-020 ===========> total count is 8
12-002 ===========> total count is 11
12-003 ===========> total count is 10
12-004 ===========> total count is 11
12-005 ===========> total count is 11
12-006 ===========> total count is 11
12-007 ===========> total count is 10
12-008 ===========> total count is 11
12-009 ===========> total count is 11
6-001 ===========> total count is 10
6-002 ===========> total count is 11
6-003 ===========> total count is 11
6-004 ===========> total count is 11
6-005 ===========> total count is 11
6-006 ===========> total count is 11
6-007 ===========> total count is 11
6-008 ===========> total count is 11
6-009 ===========> total count is 11
6-010 ===========> total count is 11
6-011 ===========> total count is 11
6-012 ===========> total count is 11
6-013 ===========> total count is 11
6-014 ===========> total count is 11
6-015 ===========> total count is 11
6-016 ===========> total count is 11
6-017 ===========> total count is 10
6-018 ===========> total count is 9
7-001 ===========> total count is 11
7-002 ===========> total count is 11
7-003 ===========> total count is 11
7-004 ===========> total count is 10
7-005 ===========> total count is 11
7-006 ===========> total count is 11
7-007 ===========> total count is 11
7-008 ===========> total count is 9
1-001 ===========> total count is 11
1-002 ===========> total count is 11
1-003 ===========> total count is 11
1-004 ===========> total count is 11
1-005 ===========> total count is 11
1-006 ===========> total count is 11
1-007 ===========> total count is 10
1-008 ===========> total count is 11
1-009 ===========> total count is 11
1-010 ===========> total count is 11
1-011 ===========> total count is 11
1-012 ===========> total count is 11
1-013 ===========> total count is 11
1-014 ===========> total count is 10
1-015 ===========> total count is 11
1-016 ===========> total count is 11
10-001 ===========> total count is 9
10-002 ===========> total count is 9
10-003 ===========> total count is 9
10-004 ===========> total count is 9
10-005 ===========> total count is 10
10-006 ===========> total count is 10
4-001 ===========> total count is 11
4-002 ===========> total count is 11
4-003 ===========> total count is 11
4-004 ===========> total count is 11
4-005 ===========> total count is 10
4-006 ===========> total count is 11
4-007 ===========> total count is 11
4-008 ===========> total count is 11
4-009 ===========> total count is 11
4-010 ===========> total count is 11
4-011 ===========> total count is 11
4-012 ===========> total count is 11
4-013 ===========> total count is 11
4-014 ===========> total count is 8
13-001 ===========> total count is 11
13-002 ===========> total count is 11
13-003 ===========> total count is 10
13-004 ===========> total count is 11
13-005 ===========> total count is 10
13-006 ===========> total count is 10
13-007 ===========> total count is 11
13-008 ===========> total count is 11
13-009 ===========> total count is 10
13-010 ===========> total count is 10
5-001 ===========> total count is 11
5-002 ===========> total count is 11
5-003 ===========> total count is 11
5-004 ===========> total count is 11
5-005 ===========> total count is 11
5-006 ===========> total count is 11
5-007 ===========> total count is 11
5-008 ===========> total count is 11
5-009 ===========> total count is 11
5-010 ===========> total count is 11
5-011 ===========> total count is 11
5-012 ===========> total count is 11
5-013 ===========> total count is 10
5-014 ===========> total count is 10
5-015 ===========> total count is 11
5-016 ===========> total count is 11
5-017 ===========> total count is 11
5-018 ===========> total count is 10
5-019 ===========> total count is 11
5-020 ===========> total count is 10
5-021 ===========> total count is 9
5-022 ===========> total count is 11
5-023 ===========> total count is 11
5-024 ===========> total count is 11
5-025 ===========> total count is 11
5-026 ===========> total count is 10
5-027 ===========> total count is 11
5-028 ===========> total count is 11
5-029 ===========> total count is 10
5-030 ===========> total count is 11
5-031 ===========> total count is 11
5-032 ===========> total count is 11
2-001 ===========> total count is 11
2-002 ===========> total count is 11
2-003 ===========> total count is 11
